Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
157767,3436 W Wilson Ave,Municipal,1957-03-01,60625.0,IL,Whitmore Village,ALBANY PARK,14.0,41.96501,-87.714516,"(41.96501325, -87.71451268)"
157832,5645 W Addison St,Commercial,1907-03-01,60634.0,TN,Mingo,PORTAGE PARK,15.0,41.87827,-87.64809,"(41.94536427, -87.76777267)"
157955,720 S Michigan Ave,Residential,1985-03-01,60605.0,IL,Reed Point,LOOP,32.0,41.87251,-87.62511,"(41.87250897, -87.6251104)"
157971,910 S Michigan Ave,Residential,1966-03-01,60605.0,IL,Northchase,ROGERS PARK,1.0,41.870316,-87.62482,"(41.87031383, -87.62481784)"
157975,501 E 32nd St,Residential,1917-03-01,60616.0,IL,Manchester,DOUGLAS,35.0,41.892056,-87.62272,"(41.83569627, -87.61275453)"
157986,800 S Michigan Ave,Residential,1914-03-01,60605.0,IL,Northgate,LOOP,32.0,41.970306,-87.65058,"(41.87155246, -87.6247301)"
157997,407 415 S DEARBORN ST,Residential,1936-03-01,60605.0,IL,Russell,LOOP,32.0,41.889805,-87.629326,"(41.88980526, -87.62932907)"
158061,5700 N ASHLAND AVE,Commercial,2014-03-01,60660.0,IL,Sale Creek,EDGEWATER,77.0,41.759693,-87.67628,"(41.98552836, -87.67026391)"
158083,8500 W Bryn Mawr Ave,Residential,1957-03-01,60631.0,MN,Whitmore Village,OHARE,76.0,41.98245,-87.84101,"(41.98244678, -87.84101094)"
158099,5530 W Homer St,Commercial,1914-03-01,60639.0,IA,Northgate,AUSTIN,25.0,41.975525,-87.69722,"(41.91589039, -87.76459083)"
158121,10 S Dearborn St,Commercial,1921-03-01,60603.0,IL,Campbellton,LOOP,32.0,41.88164,-87.630104,"(41.88163958, -87.63010692)"
158133,353 N Clark St,Commercial,1914-03-01,60654.0,VA,Northgate,NEAR NORTH SIDE,8.0,41.887623,-87.67442,"(41.88886543, -87.6302742)"
158134,170 N Dearborn Ave,Commercial,1996-03-01,60601.0,VA,Cambridge,LOOP,32.0,41.877457,-87.635735,"(41.88520426, -87.62986239)"
158142,445 E Ohio St,Residential,1954-03-01,60611.0,VA,Leesburg,NEAR NORTH SIDE,8.0,41.892242,-87.61627,"(41.89224062, -87.61627223)"
158184,33 W Monroe St,Commercial,1936-03-01,60603.0,IL,Russell,LOOP,32.0,41.880386,-87.628784,"(41.88038628, -87.62878581)"
158219,323 E Wacker Dr,Residential,1925-03-01,60601.0,VA,Big Foot Prairie,LOOP,6.0,41.887337,-87.61949,"(41.88733545, -87.61948961)"
158227,540 N State St,Residential,1954-03-01,60654.0,VA,Leesburg,NEAR NORTH SIDE,8.0,41.891926,-87.62862,"(41.89192712, -87.62861779)"
